s,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
Time,Total,NITROGEN,OXYGEN,CARBON DIOXIDE,WATER VAPOR,CARBON MONOXIDE,SOOT,HYDROGEN,HYDROGEN CYANIDE,HEPTAN_SURROGATE,LUMPED AIR,LUMPED HEPTAN_SURROGATE,LUMPED PRODUCTS
 6.9021210E+001, 5.7355843E+001, 4.3680614E+001, 1.3160050E+001, 9.9314904E-002, 4.1488229E-001, 2.1664851E-004, 4.7662672E-004, 0.0000000E+000, 0.0000000E+000, 2.8825044E-004, 5.7015881E+001, 2.8825044E-004, 3.3967283E-001
 7.0000389E+001, 5.7356193E+001, 4.3680614E+001, 1.3158956E+001, 1.0028983E-001, 4.1531352E-001, 2.1987661E-004, 4.8372854E-004, 0.0000000E+000, 0.0000000E+000, 3.1545326E-004, 5.7011143E+001, 3.1545326E-004, 3.4473401E-001
 7.1020309E+001, 5.7356545E+001, 4.3680614E+001, 1.3157764E+001, 1.0135237E-001, 4.1578350E-001, 2.2339477E-004, 4.9146850E-004, 0.0000000E+000, 0.0000000E+000, 3.1653297E-004, 5.7005979E+001, 3.1653297E-004, 3.5024998E-001
 7.2015526E+001, 5.7356905E+001, 4.3680614E+001, 1.3156611E+001, 1.0238070E-001, 4.1623835E-001, 2.2679968E-004, 4.9895930E-004, 0.0000000E+000, 0.0000000E+000, 3.3556745E-004, 5.7000981E+001, 3.3556745E-004, 3.5558837E-001
 7.3015640E+001, 5.7357265E+001, 4.3680614E+001, 1.3155406E+001, 1.0345479E-001, 4.1671344E-001, 2.3035611E-004, 5.0678344E-004, 0.0000000E+000, 0.0000000E+000, 3.3987308E-004, 5.6995761E+001, 3.3987308E-004, 3.6116432E-001
 7.4019905E+001, 5.7357630E+001, 4.3680614E+001, 1.3154018E+001, 1.0469159E-001, 4.1726049E-001, 2.3445127E-004, 5.1579280E-004, 0.0000000E+000, 0.0000000E+000, 2.9563885E-004, 5.6989750E+001, 2.9563885E-004, 3.6758493E-001
 7.5016541E+001, 5.7357998E+001, 4.3680614E+001, 1.3152987E+001, 1.0561098E-001, 4.1766716E-001, 2.3749549E-004, 5.2249007E-004, 0.0000000E+000, 0.0000000E+000, 3.5939608E-004, 5.6985281E+001, 3.5939608E-004, 3.7235781E-001
 7.6002853E+001, 5.7358366E+001, 4.3680614E+001, 1.3151691E+001, 1.0676602E-001, 4.1817806E-001, 2.4131994E-004, 5.3090387E-004, 0.0000000E+000, 0.0000000E+000, 3.4507553E-004, 5.6979667E+001, 3.4507553E-004, 3.7835399E-001
 7.7003685E+001, 5.7358738E+001, 4.3680614E+001, 1.3150468E+001, 1.0785601E-001, 4.1866018E-001, 2.4492902E-004, 5.3884385E-004, 0.0000000E+000, 0.0000000E+000, 3.5607196E-004, 5.6974370E+001, 3.5607196E-004, 3.8401250E-001
 7.8018211E+001, 5.7359119E+001, 4.3680614E+001, 1.3149332E+001, 1.0886870E-001, 4.1910811E-001, 2.4828215E-004, 5.4622073E-004, 0.0000000E+000, 0.0000000E+000, 4.0110820E-004, 5.6969448E+001, 4.0110820E-004, 3.8926971E-001
